celltype,genes,res,gene_symbol
AST,418,0.8326280124722626,ZMYM6
AST,419,0.7387349764829041,ZMYM1
AST,420,0.9183197678124813,SFPQ
AST,421,0.8899162147961498,ZMYM4
AST,423,0.9134023824540275,KIAA0319L
AST,429,0.8539827036792573,AGO4
AST,430,0.7493438276132803,AGO1
AST,431,0.8977437400815044,AGO3
AST,437,0.8789594933454306,THRAP3
AST,440,0.7770622233534505,STK40
AST,446,0.7464765773325277,LINC01137
AST,448,0.7872190109977814,MEAF6
AST,460,0.8871526724845911,INPP5B
AST,468,0.7976500504208135,AKIRIN1
AST,470,0.9676459719873085,MACF1
AST,476,0.7486185662323586,PPIE
AST,478,0.7681952163910688,TRIT1
AST,483,0.8897353098065828,RLF
AST,485,0.7197293266887664,ZMPSTE24
AST,494,0.881090750650479,NFYC
AST,500,0.9131635897137349,SCMH1
AST,503,0.9014739739391686,HIVEP3
AST,504,0.8707478535617742,FOXJ3
AST,508,0.8490950414951726,CCDC30
AST,514,0.7619996797159821,ERMAP
AST,517,0.7455648695575502,SLC2A1-AS1
AST,528,0.8092135239434665,SZT2
AST,532,0.8448563742675377,PTPRF
AST,534,0.8898349440061797,ST3GAL3
AST,540,0.7149067052536925,CCDC24
AST,544,0.9317281354497645,ERI3
AST,545,0.8813808952378513,RNF220
AST,553,0.845072511417731,EIF2B3
AST,556,0.911846152780519,ZSWIM5
AST,565,0.8911054661986265,NASP
AST,567,0.8811725877984486,GPBP1L1
AST,569,0.7238289282572647,IPP
AST,570,0.831245281043992,MAST2
AST,576,0.8089650722007071,LRRC41
AST,577,0.7235578250088376,UQCRH
AST,578,0.7440174211253561,NSUN4
AST,584,0.8064179203445411,MKNK1
AST,585,0.7862566829094992,ATPAF1
AST,588,0.7666525981171073,EFCAB14
AST,598,0.7189013778874775,CMPK1
AST,605,0.8900676690002894,SPATA6
AST,606,0.9005633573291973,AGBL4
AST,609,0.9340284765807569,FAF1
AST,613,0.7741475477847762,RNF11
AST,616,0.9320899941319498,EPS15
AST,617,0.9072899016104591,OSBPL9
AST,618,0.8939075944570571,NRDC
AST,622,0.7593779231023027,BTF3L4
AST,623,0.8740809949952354,ZFYVE9
AST,629,0.8310349989906326,ZYG11B
AST,631,0.9526995862900588,ECHDC2
AST,632,0.885382427979148,SCP2
AST,637,0.7484722994553046,LRP8
AST,640,0.736786728122147,YIPF1
AST,642,0.7191927462294533,HSPB11
AST,645,0.7700144902372374,TMEM59
AST,646,0.7052712035375087,TCEANC2
AST,648,0.8844911284570799,SSBP3
AST,650,0.9692446304217203,ACOT11
AST,652,0.9638871710687257,MROH7
AST,653,0.8390326891696418,TTC4
AST,661,0.8831242352186971,USP24
AST,662,0.9361804870698631,PLPP3
AST,666,0.7598689863653731,DAB1
AST,669,0.8140830907788871,MYSM1
AST,670,0.7230998981234458,JUN
AST,671,0.7960855740201992,LINC01135
AST,673,0.9368749543013072,FGGY
AST,675,0.807138434745944,CYP2J2
AST,677,0.9683044429167648,NFIA
AST,678,0.7543398253693854,NFIA-AS2
AST,680,0.8302356167226514,TM2D1
AST,681,0.8659479697813504,PATJ
AST,685,0.969574300592803,DOCK7
AST,686,0.8220662878673682,ATG4C
AST,690,0.7791971102544599,ITGB3BP
AST,692,0.8114059410062143,PGM1
AST,693,0.9039047038990791,ROR1
AST,696,0.9622328460367978,CACHD1
AST,697,0.8883501321851721,RAVER2
AST,698,0.9419589669564538,JAK1
AST,699,0.8499471867297228,AK4
AST,700,0.7681500677160635,DNAJC6
AST,701,0.7374737670362193,LEPR
AST,702,0.9475174766126047,PDE4B
AST,703,0.944882061424569,SGIP1
AST,706,0.76617359028954,WDR78
AST,707,0.8224934057292426,MIER1
AST,708,0.7954233332940944,SLC35D1
AST,712,0.7180694000843777,SERBP1
AST,714,0.8810748019713797,GNG12
AST,715,0.8219647933126135,GNG12-AS1
AST,717,0.9302353870668922,WLS
AST,721,0.7666785226876465,LRRC7
AST,722,0.7139271409990411,LRRC40
AST,723,0.867640332325714,SRSF11
AST,724,0.8469121850475398,ANKRD13C
AST,729,0.8813224364416264,ZRANB2
AST,730,0.8691339116820584,ZRANB2-AS2
AST,731,0.8917247484911158,NEGR1
AST,740,0.747922621354262,ACADM
AST,744,0.7944024442788358,ST6GALNAC3
AST,745,0.7952146858756604,ST6GALNAC5
AST,748,0.8474909735555908,USP33
AST,749,0.809537080323279,MIGA1
AST,752,0.8503672724769957,FUBP1
AST,762,0.7628144224363828,TTLL7
AST,763,0.8627545546701825,PRKACB
AST,770,0.7708303260222984,SSX2IP
AST,776,0.755953628752473,C1orf52
AST,778,0.9458619115009318,DDAH1
AST,779,0.7687041086037091,ZNHIT6
AST,781,0.734682223242655,ODF2L
AST,785,0.8385870356528521,SH3GLB1
AST,786,0.9490069054978223,HS2ST1
AST,787,0.7859614646982711,LMO4
AST,788,0.7930131422293504,PKN2-AS1
AST,789,0.8970095093785865,PKN2
AST,791,0.8007351741347388,KYAT3
AST,798,0.7450900283327477,LRRC8B
AST,799,0.7845348654452686,LRRC8D
AST,800,0.8390007745314338,ZNF326
AST,801,0.9451914582083184,ZNF644
AST,802,0.7686941264389133,HFM1
AST,804,0.9226955904112014,TGFBR3
AST,807,0.8471319191778557,BTBD8
AST,809,0.7822637668064258,GLMN
AST,810,0.9068084270970118,RPAP2
AST,812,0.9002130795239601,EVI5
AST,813,0.7061052255859619,RPL5
AST,814,0.8019915108482589,MTF2
AST,817,0.9222559173190612,CCDC18-AS1
AST,819,0.8119131286908349,FNBP1L
AST,820,0.9382534208905973,BCAR3
AST,825,0.8440830898152235,ABCD3
AST,826,0.9173221074025429,F3
AST,827,0.8746495040166657,SLC44A3
AST,828,0.9406914994318821,CNN3
